               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  42,            0.081555,            0.032475,                   0,            0.033333,            0.052632,            0.018101,           0.0036203,             0.10762,            0.036538,                   0,            0.009959,            0.009959,            0.009959
                  43,            0.075598,            0.033843,                   0,                   0,                   0,                   0,                   0,             0.10889,            0.040289,                   0,            0.009957,            0.009957,            0.009957
                  44,            0.077921,            0.036007,                   0,                   0,                   0,                   0,                   0,             0.11185,            0.033051,                   0,           0.0099549,           0.0099549,           0.0099549
                  45,            0.077484,            0.035445,                   0,                   0,                   0,                   0,                   0,             0.10034,             0.04337,                   0,           0.0099528,           0.0099528,           0.0099528
                  46,            0.080605,            0.033473,                   0,            0.029851,             0.10526,            0.017046,           0.0033045,            0.099108,            0.044161,                   0,           0.0099506,           0.0099506,           0.0099506
                  47,            0.081555,             0.03158,                   0,            0.043478,            0.052632,             0.02442,            0.009768,             0.08823,            0.034321,                   0,           0.0099484,           0.0099484,           0.0099484
                  48,            0.078402,            0.035292,                   0,            0.021039,            0.052632,            0.010236,           0.0040943,             0.10262,            0.039271,                   0,           0.0099461,           0.0099461,           0.0099461
                  49,            0.080072,            0.033866,                   0,             0.19853,             0.10526,             0.13453,            0.035575,            0.077629,            0.036886,                   0,           0.0099438,           0.0099438,           0.0099438
                  50,            0.077025,            0.033066,                   0,                   0,                   0,                   0,                   0,            0.089065,            0.034002,                   0,           0.0099415,           0.0099415,           0.0099415
                  51,            0.080589,             0.03368,                   0,            0.076923,             0.10526,            0.048172,            0.011226,            0.079404,            0.036852,                   0,           0.0099391,           0.0099391,           0.0099391
                  52,            0.082007,            0.031048,                   0,             0.13333,             0.21053,             0.13953,             0.03891,             0.07661,             0.03757,                   0,           0.0099366,           0.0099366,           0.0099366
                  53,            0.081523,            0.034519,                   0,            0.086957,             0.10526,            0.052048,           0.0099906,             0.07552,            0.036608,                   0,           0.0099341,           0.0099341,           0.0099341
                  54,            0.082338,            0.032611,                   0,            0.045455,            0.052632,            0.024479,           0.0097914,            0.083638,            0.037597,                   0,           0.0099315,           0.0099315,           0.0099315
                  55,            0.080057,              0.0309,                   0,                   0,                   0,                   0,                   0,            0.084423,            0.036772,                   0,           0.0099289,           0.0099289,           0.0099289
                  56,            0.077066,            0.033781,                   0,            0.041667,            0.052632,            0.022029,           0.0066087,            0.084799,             0.03624,                   0,           0.0099263,           0.0099263,           0.0099263
                  57,            0.075224,            0.035506,                   0,                   0,                   0,                   0,                   0,            0.082989,            0.038394,                   0,           0.0099236,           0.0099236,           0.0099236
                  58,            0.079238,            0.031321,                   0,                   0,                   0,                   0,                   0,            0.089855,            0.036445,                   0,           0.0099208,           0.0099208,           0.0099208
                  59,             0.07477,            0.034377,                   0,                   0,                   0,                   0,                   0,            0.089002,            0.035827,                   0,           0.0099181,           0.0099181,           0.0099181
                  60,            0.077912,            0.032112,                   0,                   0,                   0,                   0,                   0,            0.091541,            0.035756,                   0,           0.0099152,           0.0099152,           0.0099152
                  61,            0.077652,            0.030968,                   0,            0.038462,            0.052632,            0.020746,           0.0020746,            0.095175,            0.034054,                   0,           0.0099123,           0.0099123,           0.0099123
                  62,             0.07882,            0.032953,                   0,            0.036436,            0.052632,            0.017623,           0.0017623,            0.089299,            0.036873,                   0,           0.0099094,           0.0099094,           0.0099094
                  63,               0.074,            0.035351,                   0,             0.17665,             0.15789,            0.095749,            0.023269,            0.079507,            0.039057,                   0,           0.0099064,           0.0099064,           0.0099064
                  64,            0.077656,             0.03325,                   0,                   0,                   0,                   0,                   0,            0.095112,            0.031484,                   0,           0.0099034,           0.0099034,           0.0099034
                  65,            0.077336,            0.031253,                   0,                   0,                   0,                   0,                   0,            0.094281,            0.033173,                   0,           0.0099003,           0.0099003,           0.0099003
                  66,            0.074724,            0.034961,                   0,            0.045455,            0.052632,            0.024658,           0.0049317,            0.095925,            0.028764,                   0,           0.0098972,           0.0098972,           0.0098972
                  67,             0.07563,            0.031126,                   0,             0.11111,             0.15789,            0.067873,            0.012945,            0.097887,            0.029662,                   0,            0.009894,            0.009894,            0.009894
